Model,R2_Score,RMSE,MAE
Linear Regression,1.0,1.421137524979734e-13,1.386209014893148e-13
K-Nearest Neighbors (KNN),-0.9055026395958676,37.38424683403405,29.285249084249084
Support Vector Machine (SVM),-1.4788998262308661,42.63962206373485,26.886745730143105
