Model,R2,RMSE,MAE
Linear Regression,0.997351892392516,1.3926221198391986,1.00133946461315
Random Forest,-0.4081630996600001,32.11381893455422,23.455033846907547
Support Vector Regressor,-2.772695700756487,52.564357838992585,34.737948624662835
